question_id,TBS,QBS,tradeduration,SumofPrevious,questionduration,DaystoClose,categoryid
854,0.044999988,0.00457,4.529166667,28.50069444,44.62824,16.12754556,2
854,0.23120002,0.00419,0.808333333,29.30902777,44.62824,15.31921223,2
854,0.045000006,0,0.000694444,29.30972222,44.62824,15.31851778,2
854,0.045000006,1.00E-05,0.011111111,29.32083333,44.62824,15.30740667,2
854,0.05120001,0.00091,0.791666667,30.1125,44.62824,14.51574,2
854,0.057800007,0,0.000694444,30.11319444,44.62824,14.51504556,2
854,0.064800032,0.00025,0.171527778,30.28472222,44.62824,14.34351778,2
854,0.072199958,1.00E-05,0.00625,30.29097222,44.62824,14.33726778,2
854,0.064800032,0.00125,0.860416667,31.15138889,44.62824,13.47685111,2
854,0.080000004,1.00E-05,0.007638889,31.15902778,44.62824,13.46921223,2
854,0.064799899,0.00028,0.193055556,31.35208333,44.62824,13.27615667,2
854,0.072200076,1.00E-05,0.003472222,31.35555555,44.62824,13.27268445,2
854,0.080000044,0.00084,0.470138889,31.82569444,44.62824,12.80254556,2
854,0.088199992,9.00E-05,0.045138889,31.87083333,44.62824,12.75740667,2
854,0.064799982,2.00E-05,0.016666667,31.8875,44.62824,12.74074,2
854,0.088199924,0,0,31.8875,44.62824,12.74074,2
854,0.072200023,1.00E-05,0.005555556,31.89305555,44.62824,12.73518445,2
854,0.079999936,0.00162,0.901388889,32.79444444,44.62824,11.83379556,2
854,0.064800032,0.00052,0.35625,33.15069444,44.62824,11.47754556,2
854,0.079999948,1.00E-05,0.007638889,33.15833333,44.62824,11.46990667,2
854,0.072200046,0.00154,0.954166667,34.1125,44.62824,10.51574,2
854,0.057799986,0.00027,0.210416667,34.32291667,44.62824,10.30532333,2
854,0.064800025,0.00078,0.538194444,34.86111111,44.62824,9.76712889,2
854,0.12500008,7.00E-05,0.026388889,34.8875,44.62824,9.740740001,2
854,0.080000028,1.00E-05,0.004166667,34.89166667,44.62824,9.736573334,2
854,0.044999997,2.00E-05,0.019444444,34.91111111,44.62824,9.71712889,2
854,0.124999985,0.0001,0.034722222,34.94583333,44.62824,9.682406668,2
854,0.096799978,0.01619,7.463888889,42.40972222,44.62824,2.218517779,2
854,0.49999997,-0.47339,2.218055556,44.62777778,44.62824,0.000462223,2
855,0.096799991,0.00033,0.108333333,0.108333333,32.21954,32.11120667,1
855,0.50000006,0.02689,1.733333333,1.841666666,32.21954,30.37787333,1
855,0.096800018,0.00023,0.076388889,1.918055555,32.21954,30.30148445,1
855,0.50000006,0.01211,0.780555556,2.698611111,32.21954,29.52092889,1
855,0.180000042,0.00103,0.183333333,2.881944444,32.21954,29.33759556,1
855,0.50000006,0.00019,0.0125,2.894444444,32.21954,29.32509556,1
855,0.17999994,0.00557,0.997222222,3.891666666,32.21954,28.32787333,1
855,0.49999988,0.00253,0.163194444,4.05486111,32.21954,28.16467889,1
855,0.180000084,0.00375,0.670833333,4.725694443,32.21954,27.49384556,1
855,0.180000048,0.00035,0.063194444,4.788888887,32.21954,27.43065111,1
855,0.49999965,6.00E-05,0.003472222,4.792361109,32.21954,27.42717889,1
855,0.18000012,1.00E-05,0.000694444,4.793055553,32.21954,27.42648445,1
855,0.49999979,0.00057,0.036805556,4.829861109,32.21954,27.38967889,1
855,0.179999994,0.00011,0.020833333,4.850694442,32.21954,27.36884556,1
855,0.304200039,0.00332,0.351388889,5.202083331,32.21954,27.01745667,1
855,0.5,0.00802,0.516666667,5.718749998,32.21954,26.50079,1
855,0.217799934,5.00E-05,0.006944444,5.725694442,32.21954,26.49384556,1
855,0.50000012,0.00084,0.054166667,5.779861109,32.21954,26.43967889,1
855,0.2888,1.00E-05,0.000694444,5.780555553,32.21954,26.43898445,1
855,0.5,0.00145,0.09375,5.874305553,32.21954,26.34523445,1
855,0.224404134,0.0004,0.056944444,5.931249997,32.21954,26.28829,1
855,0.5,0.00262,0.16875,6.099999997,32.21954,26.11954,1
855,0.17999997,0.00025,0.045138889,6.145138886,32.21954,26.07440111,1
855,0.49999994,0.00226,0.145833333,6.290972219,32.21954,25.92856778,1
855,0.273799963,3.00E-05,0.003472222,6.294444441,32.21954,25.92509556,1
855,0.124999935,0.00166,0.427083333,6.721527774,32.21954,25.49801223,1
855,0.204800083,0.00013,0.020138889,6.741666663,32.21954,25.47787334,1
855,0.125,0.00017,0.044444444,6.786111107,32.21954,25.43342889,1
855,0.49999997,0.00147,0.094444444,6.880555551,32.21954,25.33898445,1
855,0.217800026,0.00024,0.034722222,6.915277773,32.21954,25.30426223,1
855,0.49999997,0.00045,0.029166667,6.94444444,32.21954,25.27509556,1
855,0.217800026,0.00234,0.345833333,7.290277773,32.21954,24.92926223,1
855,0.49999997,0.00113,0.072916667,7.36319444,32.21954,24.85634556,1
855,0.217800026,0.0022,0.325694444,7.688888884,32.21954,24.53065112,1
855,0.49999997,0,0,7.688888884,32.21954,24.53065112,1
855,0.2888,0.00258,0.288194444,7.977083328,32.21954,24.24245667,1
855,0.21779996,0.00213,0.314583333,8.291666661,32.21954,23.92787334,1
855,0.5000002,0.00066,0.042361111,8.334027772,32.21954,23.88551223,1
855,0.369800034,0.01771,1.543055556,9.877083328,32.21954,22.34245667,1
855,0.217800026,0.00085,0.125694444,10.00277777,32.21954,22.21676223,1
855,0.304199945,0.0005,0.053472222,10.05624999,32.21954,22.16329001,1
