"user_id","user_role_id","updated_at","created_at"
5760,3,"2014-06-22 08:18:07.209109","2014-06-22 08:18:07.209109"
5762,3,"2014-06-22 08:19:05.233857","2014-06-22 08:19:05.233857"
5766,3,"2014-06-22 08:20:40.962045","2014-06-22 08:20:40.962045"
5775,3,"2014-06-22 08:33:39.351581","2014-06-22 08:33:39.351581"
5779,3,"2014-06-22 08:38:34.471508","2014-06-22 08:38:34.471508"
5786,3,"2014-06-22 08:47:57.428328","2014-06-22 08:47:57.428328"
5789,3,"2014-06-22 08:49:06.726589","2014-06-22 08:49:06.726589"
5792,3,"2014-06-22 08:55:32.0042","2014-06-22 08:55:32.0042"
5794,3,"2014-06-22 08:57:01.706895","2014-06-22 08:57:01.706895"
5795,3,"2014-06-22 09:02:23.994375","2014-06-22 09:02:23.994375"
5796,3,"2014-06-22 09:09:08.632325","2014-06-22 09:09:08.632325"
5798,3,"2014-06-22 09:09:31.450084","2014-06-22 09:09:31.450084"
5801,3,"2014-06-22 09:15:16.266785","2014-06-22 09:15:16.266785"
5802,3,"2014-06-22 09:17:09.592082","2014-06-22 09:17:09.592082"
5804,3,"2014-06-22 09:19:03.611823","2014-06-22 09:19:03.611823"
5809,3,"2014-06-22 09:22:14.15322","2014-06-22 09:22:14.15322"
5813,3,"2014-06-22 09:23:50.079696","2014-06-22 09:23:50.079696"
5815,3,"2014-06-22 09:25:40.361926","2014-06-22 09:25:40.361926"
5817,3,"2014-06-22 09:26:35.08563","2014-06-22 09:26:35.08563"
5818,3,"2014-06-22 09:28:52.690391","2014-06-22 09:28:52.690391"
5819,3,"2014-06-22 09:30:32.899077","2014-06-22 09:30:32.899077"
5822,3,"2014-06-22 09:36:09.849253","2014-06-22 09:36:09.849253"
5825,3,"2014-06-22 09:40:28.550314","2014-06-22 09:40:28.550314"
5828,3,"2014-06-22 09:43:46.228658","2014-06-22 09:43:46.228658"
5831,3,"2014-06-22 09:44:50.626731","2014-06-22 09:44:50.626731"
5835,3,"2014-06-22 09:49:00.254781","2014-06-22 09:49:00.254781"
5836,3,"2014-06-22 09:49:12.468398","2014-06-22 09:49:12.468398"
5838,3,"2014-06-22 09:52:03.474966","2014-06-22 09:52:03.474966"
5839,3,"2014-06-22 09:52:08.28099","2014-06-22 09:52:08.28099"
5840,3,"2014-06-22 09:52:09.604204","2014-06-22 09:52:09.604204"
5841,3,"2014-06-22 09:52:23.877939","2014-06-22 09:52:23.877939"
5845,3,"2014-06-22 09:59:24.350267","2014-06-22 09:59:24.350267"
5848,3,"2014-06-22 10:04:14.379465","2014-06-22 10:04:14.379465"
5850,3,"2014-06-22 10:05:46.335073","2014-06-22 10:05:46.335073"
5851,3,"2014-06-22 10:07:11.000696","2014-06-22 10:07:11.000696"
5853,3,"2014-06-22 10:08:28.537177","2014-06-22 10:08:28.537177"
5854,3,"2014-06-22 10:10:58.435901","2014-06-22 10:10:58.435901"
5855,3,"2014-06-22 10:13:00.595138","2014-06-22 10:13:00.595138"
